DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,PLANT_ID,DAILY_YIELD,PERIOD_GENERATION
2020-05-28 13:15:00,33.30490126666667,61.48070286666666,0.87740903,plant1,5487.375,287.5178569999998
2020-05-28 13:30:00,32.802505857142854,49.77019207142857,0.5136740935714285,plant1,5657.428571,170.05357100000037
2020-05-28 13:45:00,32.92808646666667,49.820072333333336,0.7417442313333333,plant1,5846.0,188.57142899999963
2020-05-28 14:00:00,33.757623499999994,56.5494842,0.718638987,plant1,6083.0,237.0
2020-05-28 14:15:00,32.78992792857142,46.81591135714286,0.4033134171428571,plant1,6247.142857,164.14285699999982
2020-05-28 14:30:00,32.84624806666667,48.51458733333333,0.5518274599999999,plant1,6359.714286,112.57142900000053
2020-05-28 14:45:00,32.96533184615384,46.83451484615385,0.5377807876923076,plant1,6533.125,173.41071399999964
2020-05-28 15:00:00,33.397930933333335,51.453865333333326,0.7397700273333334,plant1,6763.428571,230.30357100000037
2020-05-28 15:15:00,33.418438800000004,50.9835652,0.642219944,plant1,6962.285714,198.85714299999927
2020-05-28 15:30:00,33.45063293333333,49.20921033333333,0.5725103686666667,plant1,7158.25,195.96428600000036
2020-05-28 15:45:00,33.09783492857143,47.05743857142858,0.4793892407142857,plant1,7346.0,187.75
2020-05-28 16:00:00,32.85396113333333,42.799833,0.206959974,plant1,7468.875,122.875
2020-05-28 16:15:00,32.72757773333334,40.30443513333333,0.3152401926666667,plant1,7562.571429,93.69642899999963
2020-05-28 16:30:00,32.866440600000004,40.0736208,0.3207225406666667,plant1,7659.75,97.17857100000037
2020-05-28 16:45:00,32.67632835714286,38.693878142857145,0.2912888885714286,plant1,7733.714286,73.96428600000036
2020-05-28 17:00:00,32.671417266666666,38.58448679999999,0.2348828546666666,plant1,7818.714286,85.0
2020-05-28 17:15:00,32.512230571428574,37.494888142857135,0.1959377942857142,plant1,7889.0,70.28571399999964
2020-05-28 17:30:00,31.958078800000003,34.10791773333333,0.0836154068666666,plant1,7931.0,42.0
2020-05-28 17:45:00,31.476942933333337,31.634830733333327,0.0517987240666666,plant1,7951.0,20.0
2020-05-28 18:00:00,31.005800533333336,30.528898000000005,0.0359229087333333,plant1,7964.142857,13.142856999999822
2020-05-28 18:15:00,30.42119707142857,29.995760357142856,0.0206756249642857,plant1,7973.0,8.857143000000178
2020-05-28 18:30:00,29.723270928571427,29.320794285714285,0.0073991020928571,plant1,7976.714286,3.7142860000003566
2020-05-28 18:45:00,28.56131,27.98389913333333,0.0012636806146,plant1,7977.0,0.2857139999996434
2020-05-28 19:00:00,28.059818466666663,27.340474333333336,0.0,plant1,7977.0,0.0
2020-05-28 19:15:00,27.7923808,26.7919168,0.0,plant1,7977.0,0.0
2020-05-28 19:30:00,27.6113422,26.0416464,0.0,plant1,7977.0,0.0
2020-05-28 19:45:00,27.355645599999995,25.637278066666667,0.0,plant1,7977.0,0.0
2020-05-28 20:00:00,27.13539564285714,25.529323071428568,0.0,plant1,7977.0,0.0
2020-05-28 20:15:00,26.931520666666664,25.35537526666667,0.0,plant1,7977.0,0.0
2020-05-28 20:30:00,26.724784466666662,25.210925266666667,0.0,plant1,7977.0,0.0
2020-05-28 20:45:00,26.4515138,24.99562986666667,0.0,plant1,7977.0,0.0
2020-05-28 21:00:00,26.2307618,24.619024666666665,0.0,plant1,7977.0,0.0
2020-05-28 21:15:00,24.983808380952382,24.348965619047625,0.0,plant1,7977.0,0.0
2020-05-28 21:30:00,22.000267692307688,20.65195161538461,0.0,plant1,7977.0,0.0
2020-05-28 21:45:00,20.613987769230768,19.553316538461537,0.0,plant1,7977.0,0.0
2020-05-28 22:00:00,20.845003333333327,19.865224266666665,0.0,plant1,7977.0,0.0
2020-05-28 22:15:00,21.100152466666668,20.133622066666664,0.0,plant1,7977.0,0.0
2020-05-29 06:15:00,20.838399333333328,20.166653916666665,0.0409023354166666,plant1,1.2,0.0
2020-05-29 06:30:00,21.0031935,20.9889395,0.0663231575714285,plant1,17.375,16.175
2020-05-29 06:45:00,21.185152066666664,21.922501733333327,0.0998780443333333,plant1,45.28571429,27.91071429
2020-05-29 07:00:00,21.43288993333333,24.118766333333333,0.1301255426666666,plant1,87.0,41.71428571
2020-05-29 07:15:00,21.80819506666667,26.070054,0.1339008513333333,plant1,132.2857143,45.285714299999995
2020-05-29 07:30:00,22.1382732,26.9603476,0.1528612619999999,plant1,180.25,47.964285700000005
